"business_id","start","end","n","peak","restaurant_id","key"
"0dIDNlEtGEBnkcbHCiL2hQ",2008-11-27,2015-04-27,69,2013-11-21 00:00:00,"Pk3w9DOd","yelp_id_0"
"0dzJ2ySpv8WJvo9BZN1Gww",2005-08-30,2014-10-19,46,2010-08-12 00:00:00,"6K3lmKoz","yelp_id_0"
"0e2AtRg5_hdfN8sYHGfaog",2005-07-02,2015-05-01,211,2011-06-06 00:00:00,"0ZEDPkED","yelp_id_0"
"0eLxW44s_uTo39z9p_ZL9A",2007-03-22,2015-01-21,24,2009-08-26 12:00:00,"m0oWLPOG","yelp_id_0"
"0gBOx2QOkzS0HXb40IJkLw",2008-01-30,2015-04-03,9,2009-07-04 00:00:00,"m0oWnR3G","yelp_id_0"
"0jFQdK1tUUexYYkmIvwKQQ",2005-08-30,2015-01-25,16,2009-10-16 00:00:00,"ydEjp9oW","yelp_id_0"
"0ltmtm19LLJ9LZk2WUnL_g",2005-07-06,2014-10-07,37,2009-05-25 00:00:00,"8xExX9E0","yelp_id_0"
"0peqwLT0Ceu_MHcPYPs3YQ",2005-08-22,2015-04-25,151,2011-05-21 00:00:00,"WeEeQWEa","yelp_id_0"
"0ugtTdUzPAevQMwmevEA6w",2007-09-01,2008-11-30,5,2008-08-16 00:00:00,"B1oXmqOV","yelp_id_0"
"0uvgsJnwyCvNpjHOEYtlyQ",2007-03-06,2015-04-29,98,2012-07-25 00:00:00,"dj3dQao9","yelp_id_0"
"0vIFY6Fpk3tvAO9yeGuA8A",2005-08-27,2009-04-20,5,2008-04-16 00:00:00,"8gOqpro2","yelp_id_0"
"0xvkZACuX_A2AxuT0ogoiQ",2005-08-14,2015-04-08,242,2011-12-13 00:00:00,"B1oXD1oV","yelp_id_0"
"0y2-3Cuw6MQQmr5qZ5_Iqw",2009-11-20,2015-03-29,143,2010-08-30 00:00:00,"ydEjV9EW","yelp_id_0"
"1-JTRkgUkrgjSH4Z6iEcUQ",2005-07-12,2015-04-30,77,2010-01-29 00:00:00,"rJoQ59oV","yelp_id_0"
"105iw1_aGTuy8QcIc6pxeA",2006-03-25,2014-08-28,63,2010-01-27 00:00:00,"KAoKnZ3g","yelp_id_0"
"18JxcE3DarQ4kTW264A_nQ",2006-12-05,2015-04-30,23,2012-10-15 00:00:00,"XJ3rRm3R","yelp_id_0"
"1C7d75slQFzLD6c3t6X2MA",2006-06-15,2013-11-13,35,2009-10-28 00:00:00,"VpoGJQ3r","yelp_id_0"
"1CUFVwVgNyaKz-c7DzhKqQ",2005-12-01,2014-10-18,71,2011-06-08 00:00:00,"9JoPZpE8","yelp_id_0"
"1DcEoBy2QOs_wjURnqPktA",2007-02-27,2015-04-05,167,2011-06-08 00:00:00,"9JoP2qE8","yelp_id_0"
"1EjS_EEJ1iFMMZrt6FVXQQ",2005-08-04,2011-10-03,13,2009-05-02 00:00:00,"1JEbP4oR","yelp_id_0"
"1Fmk8ORLVp0lWXndcjcKWA",2005-08-02,2015-04-03,24,2011-07-11 12:00:00,"N6OkzKox","yelp_id_0"
"1GRVMGGlYA-VX4w21KKPPg",2010-01-19,2015-04-11,25,2013-05-31 00:00:00,"Y1Em9REw","yelp_id_0"
"1IjQFx0mt681qCxn9b5m9Q",2008-04-09,2014-03-09,18,2011-06-12 12:00:00,"xWoYKEKn","yelp_id_0"
"1J_nO3AHh-xLThRAlhMcbg",2009-12-10,2015-05-02,413,2012-05-01 00:00:00,"1m3MB6oB","yelp_id_0"
"1KFT34vhDU0Ya0jCXtKf5A",2006-03-05,2015-04-29,93,2010-10-13 00:00:00,"eVOBY6oj","yelp_id_0"
"1L39HOtAA-0SwRHgrcaCLg",2009-02-24,2015-04-24,20,2012-04-11 00:00:00,"Y1Emq9Ew","yelp_id_0"
"1LTXWnp_EXvBtUkKhcBd0A",2006-01-28,2015-03-26,18,2012-03-27 12:00:00,"1m3MJ6oB","yelp_id_0"
"1NRgck4-Jr_0Fqxqe6DMhA",2005-07-19,2011-03-10,92,2008-09-18 00:00:00,"1JEbN7ER","yelp_id_0"
"1NbIAgBrp7iW5YpDjdy1BA",2010-12-02,2013-08-08,75,2012-07-14 00:00:00,"JGoNDkEL","yelp_id_0"
"1OgNGxW6xsdvqNj8M_kEew",2007-01-05,2015-04-22,365,2011-09-12 00:00:00,"ekE4Rjo2","yelp_id_0"
"1Qt18-vQEVsBAMwLNl3ASQ",2009-10-03,2015-04-28,154,2012-11-02 00:00:00,"Y1EmeAEw","yelp_id_0"
"1SEEvsE3sEoxha20jZmqqw",2009-04-23,2015-05-02,205,2011-01-17 00:00:00,"0ZED1B3D","yelp_id_0"
"1TlReKO-_ArpQKfNll7dcg",2009-02-20,2014-11-10,15,2010-07-26 00:00:00,"eVOB21Oj","yelp_id_0"
"1U7_owd2auEqLYZ9hTE6Rw",2005-07-29,2008-09-02,5,2006-12-13 00:00:00,"0j3LgvEr","yelp_id_0"
"1VbhklhCuIdRDNKPQij6ZA",2007-03-07,2009-10-31,22,2008-05-12 00:00:00,"8x3zWbok","yelp_id_0"
"1Wo383bQaaAb4K-4KVF47A",2004-10-18,2015-04-25,156,2012-02-02 00:00:00,"nkOvGMEB","yelp_id_0"
"1Z3Lep1hQTSnrIWFWnxalQ",2008-05-31,2014-11-25,9,2013-03-03 00:00:00,"6K3lwvEz","yelp_id_0"
"1aH4dPfJDlqbvCF0gQYScg",2008-06-13,2012-05-10,9,2010-07-24 00:00:00,"geEV7V3z","yelp_id_0"
"1aoqivGnaK2l5fFSw3sb2A",2007-11-25,2015-02-21,26,2009-08-10 00:00:00,"9JoPV5E8","yelp_id_0"
"1c4rQB7HtPwoiZcK3sEg-A",2006-03-10,2015-03-07,45,2010-07-27 00:00:00,"rNo69l36","yelp_id_0"
"1g8uZF1k1w6gr6_LUObAIw",2005-07-06,2015-04-21,266,2011-10-19 12:00:00,"8KoAypo6","yelp_id_0"
"1gt36W9AlOt8LVb8AylKVw",2007-01-19,2011-05-27,4,2008-12-06 12:00:00,"8x3zNN3k","yelp_id_0"
"1jZYnNhRuzLgdx0yfdkLMA",2008-06-11,2015-04-01,25,2011-12-28 00:00:00,"ydEj7V3W","yelp_id_1"
"1lc6xNuCZ4YGsvpVDaLw0Q",2005-07-21,2015-04-27,196,2012-04-04 00:00:00,"6K3l1xoz","yelp_id_0"
"1qghM8aHkiYRbgxgb8JyaA",2005-09-20,2014-10-25,45,2008-10-04 00:00:00,"7RO5bAEq","yelp_id_0"
"1sSas85Paby-KqM4kexbKA",2006-02-28,2012-02-28,7,2007-11-01 00:00:00,"B1oXYqOV","yelp_id_0"
"1sTikFYBH0LGM_Zqd1ZVnw",2008-09-29,2015-05-02,491,2013-01-28 00:00:00,"6Wo2XwE9","yelp_id_0"
"1spQBnxuEPLXcq0bcRzxrA",2008-09-25,2015-05-01,219,2013-06-14 00:00:00,"WeEeNw3a","yelp_id_0"
"1ucffnrUuwT0fh-B5ZjJWA",2007-04-27,2010-03-18,13,2008-05-01 00:00:00,"qN3g7M3A","yelp_id_0"
"1xGthL2DMErJCU1ZPMmCdQ",2008-11-29,2010-11-30,11,2009-07-13 00:00:00,"lnOR16oN","yelp_id_0"
"1xNCp3U3tjh1AisKR0UVnA",2005-06-27,2015-03-26,58,2011-04-29 12:00:00,"KAoKrB3g","yelp_id_0"
"1z7q3pYA5RADkJY2JXQ9Lw",2007-11-12,2014-06-20,114,2010-08-09 12:00:00,"v5oJ6doB","yelp_id_0"
"1znmVAquIZyn3yeR64-uTA",2006-01-25,2015-04-11,232,2011-07-13 00:00:00,"9JoP47o8","yelp_id_0"
"2-f1XTaGHD4fB7iPE0iv_Q",2006-04-06,2013-05-23,98,2009-11-11 00:00:00,"V430J2OB","yelp_id_0"
"22ulc1gf6RFEGEeB9eINBQ",2005-06-27,2015-04-24,174,2011-01-07 12:00:00,"v5oJjyoB","yelp_id_0"
"26hwmO71xQ7cvMqaVL_Yzg",2008-03-14,2011-08-26,7,2009-11-16 00:00:00,"6Wo21539","yelp_id_0"
"26icQIAvAOmDcbC_h8U_9g",2005-06-30,2007-09-17,19,2007-02-08 00:00:00,"p038Pz3m","yelp_id_0"
"283jjsb0TMPtkFB8AnUe_g",2006-06-13,2015-03-14,47,2010-07-02 00:00:00,"ekE4d6E2","yelp_id_0"
"2D9qp6OYQAaf6Rp_p2ov7A",2005-08-12,2011-12-26,26,2010-09-21 12:00:00,"xWoYlA3K","yelp_id_0"
"2FERaNNZ6pWI9j6xmEjsJw",2006-05-31,2015-04-21,85,2011-08-18 00:00:00,"WeEeDrOa","yelp_id_0"
"2GHBM9BWLEHvVHWz1ArCdQ",2010-06-26,2015-04-08,32,2013-08-09 12:00:00,"0ZEDNpoD","yelp_id_0"
"2NIljVaGuYAVqVL4exbpsg",2005-08-09,2015-04-26,19,2012-06-26 00:00:00,"1m3MP6EB","yelp_id_0"
"2PSHg5xMdBLTarRGGCCzTg",2006-03-17,2015-04-16,92,2012-04-17 00:00:00,"NbE1ZJ3J","yelp_id_0"
"2QKnTI30EL2q1Ztd_GrM9w",2009-01-12,2014-10-25,14,2012-01-09 00:00:00,"Y1Emwnow","yelp_id_0"
"2RP-pDK7WG60cFu30jG49w",2008-09-12,2015-02-20,24,2012-05-14 12:00:00,"1m3Mw6OB","yelp_id_1"
"2V4wFDGZCOL8LBWFM4idxA",2007-08-18,2012-10-15,8,2010-10-06 00:00:00,"6VOprd3L","yelp_id_0"
"2W8EjHNVqr4VHMNN6y9b0A",2008-10-15,2011-06-27,10,2010-06-13 12:00:00,"JGoN2WoL","yelp_id_0"
"2WPgRm4RjHhoLRbKqQeqjQ",2007-07-27,2014-12-23,28,2012-04-18 00:00:00,"wmo7lROq","yelp_id_1"
"2W_ncMJWYxNxcQpNGJkkPA",2010-02-25,2011-09-14,22,2010-09-14 12:00:00,"8gOqA5O2","yelp_id_0"
"2YCTJoJrrgfjS9Zk0mHlbQ",2006-09-21,2015-04-29,51,2010-10-06 00:00:00,"qN3gjQEA","yelp_id_0"
"2YmxTN_5xL4TXZt8r9uwIg",2005-07-10,2015-05-01,208,2010-03-20 12:00:00,"8KoAjKO6","yelp_id_0"
"2ZtdyoRci6RcR0QPGgPb6Q",2008-03-09,2015-01-08,26,2011-12-17 00:00:00,"1JEbm7OR","yelp_id_0"
"2fsrwI3kBHRwrSz-Se45Xg",2007-11-29,2013-05-18,17,2012-01-08 00:00:00,"Y1EmwVow","yelp_id_0"
"2hdEg88EI64rWmtNOpnOrw",2011-03-10,2015-04-29,165,2012-05-23 00:00:00,"njoZaY3r","yelp_id_0"
"2l9IwH0IlnYEDsE7RyDcww",2005-06-30,2015-05-02,157,2009-08-13 00:00:00,"wmo7a9Eq","yelp_id_0"
"2mSu8PN-B2tsoPHIgY11CQ",2005-06-27,2013-07-25,107,2010-06-27 00:00:00,"KAoKNP3g","yelp_id_0"
"2mehBGuCRfOX4soeVCaZJg",2008-03-28,2014-05-04,12,2011-08-04 12:00:00,"V430N1OB","yelp_id_0"
"2ruIEdvWfleNXaVtjrtY2g",2008-01-28,2015-04-26,53,2011-11-19 00:00:00,"lnORPD3N","yelp_id_0"
"2xCFbj5q6hwhCgTyfH3QPg",2007-09-08,2015-02-20,235,2011-01-31 00:00:00,"wmo7gboq","yelp_id_0"
"2y8rjGBcWC0QuisW8ik8Rw",2006-02-10,2015-04-23,233,2012-06-30 00:00:00,"1JEbKN3R","yelp_id_0"
"328ogYgCXtrHhtyxwq5o0g",2007-12-21,2015-04-27,44,2010-07-28 00:00:00,"6VOpgQoL","yelp_id_0"
"32ku0SbsU751U-BryExoiw",2005-07-06,2012-08-30,248,2009-07-16 00:00:00,"1JEbyMOR","yelp_id_0"
"36w6nJPt4bMAOUtplrKWsg",2005-06-27,2015-05-02,1183,2012-11-13 00:00:00,"Y1EmRn3w","yelp_id_0"
"39WkQGdNFihEzGG6jB9yXg",2006-11-30,2015-04-30,121,2011-10-13 00:00:00,"Pk3wZ5Ed","yelp_id_0"
"3AYFYbSFlqlW0PJ6I4OSXw",2006-06-06,2015-03-18,30,2012-04-02 12:00:00,"wmo7R73q","yelp_id_0"
"3EBoCkyuohytIdhQ8xIoqg",2007-05-08,2015-04-19,86,2011-07-19 12:00:00,"B1oXJqEV","yelp_id_0"
"3EORbRSKQRQQEN7FLGeyTg",2009-05-27,2015-02-05,19,2012-03-29 00:00:00,"m0oWY1EG","yelp_id_0"
"3FFTfeU_W7NrqEd168XZTw",2005-09-21,2015-02-07,25,2013-01-24 00:00:00,"wmo7AvEq","yelp_id_0"
"3GR2ez8ltio5g5PIA6M7tg",2006-04-27,2013-06-13,14,2012-04-30 00:00:00,"eVOBPw3j","yelp_id_0"
"3I5Ovhi_iImyLsxxlqn7pg",2005-07-24,2013-11-29,235,2010-08-22 00:00:00,"8x3zP9Ok","yelp_id_0"
"3IrkCSQvjBclaIITP67ygA",2005-06-27,2015-03-14,137,2010-04-30 00:00:00,"dj3dYgo9","yelp_id_0"
"3MKuOTsPUZ24DepKBvUoyw",2007-03-16,2015-01-20,10,2010-07-19 12:00:00,"NbE12N3J","yelp_id_0"
"3NnLhbpDThsqnGivlCC1ig",2006-07-13,2015-04-28,75,2011-09-18 00:00:00,"rJoQrqOV","yelp_id_0"
"3Sveq8N13wTQ5ivjs3YFhQ",2008-04-21,2015-04-22,104,2011-05-28 00:00:00,"p038pX3m","yelp_id_0"
"3TYwFeQYzRVBecTKuy4KQw",2010-11-04,2011-12-05,4,2011-08-17 00:00:00,"geEVdZoz","yelp_id_0"
"3UVXNmD-0OTPr-6BBZoaOw",2006-03-13,2014-12-31,24,2009-11-17 00:00:00,"0ZED9B3D","yelp_id_0"
"3V1ILT-ko_rP08q5gJ-D5g",2005-07-18,2014-03-13,104,2010-02-18 12:00:00,"ekE48ZE2","yelp_id_0"
"3XQyTMw_0SoPe7w94WNDXg",2011-03-01,2015-04-30,577,2012-12-17 00:00:00,"Y1EmnR3w","yelp_id_0"
"3_MdxkQFCgHgLrsBTh6fCQ",2005-07-02,2009-01-17,35,2007-12-11 00:00:00,"ekE4w0O2","yelp_id_0"
"3dR3ksCre2BkocWYOrBvJg",2006-02-18,2015-04-23,96,2012-08-24 00:00:00,"rNo6n6o6","yelp_id_0"
"3eGuOcMQSPBoKruV7wUrIA",2006-07-25,2015-02-04,54,2011-05-21 00:00:00,"p038qgom","yelp_id_0"
"3ec0du2rTBaKwIGSTM3N3g",2007-07-16,2015-04-13,18,2012-05-23 00:00:00,"xWoYMGoK","yelp_id_0"
"3gzwShhTaEYG9X7ahhUX0Q",2009-12-19,2015-04-14,13,2012-12-01 00:00:00,"XJ3rZZ3R","yelp_id_0"
"3hNSvu0csMgXs9dBBm9xsg",2005-08-24,2013-10-12,18,2008-05-27 00:00:00,"ZBEnlqoY","yelp_id_0"
"3hq5U9wrBwRHqjDD6gqzkA",2007-09-22,2015-05-02,787,2012-09-07 00:00:00,"dj3dWAE9","yelp_id_0"
"3i-MJtKgMqtL5iw3IdViag",2009-09-05,2010-07-16,7,2010-02-21 00:00:00,"0j3LrDOr","yelp_id_0"
"3s-kbeRQC4MS-tuR8m59Wg",2006-08-30,2013-03-10,16,2009-09-28 00:00:00,"6K3l8K3z","yelp_id_1"
"3sWKDXJoXK6DqblbAFO5DA",2010-04-23,2014-03-13,14,2012-08-21 00:00:00,"B1oX9NOV","yelp_id_0"
"3snyw0O_H4Ze8O52m6EJMg",2006-11-03,2015-02-26,15,2012-03-29 00:00:00,"m0oWBg3G","yelp_id_0"
"3trVGh-O7fSf_lmB_kgtew",2006-03-20,2011-07-06,16,2010-08-08 12:00:00,"6K3lV9Oz","yelp_id_0"
"3wlmlqj-EL7UP_2CbklIvw",2005-08-24,2013-12-25,63,2010-09-04 00:00:00,"JBEyYNE8","yelp_id_0"
"3yEeuKA_cwHH3GDMDeIDdg",2009-10-18,2014-11-09,18,2013-02-11 00:00:00,"Y1EmbA3w","yelp_id_0"
"4-s17wi0oQb7-dZsN27UQA",2006-06-16,2015-02-20,18,2012-03-17 12:00:00,"8xExP9E0","yelp_id_0"
"41MN7KtpS5fwXktQZHXbSg",2010-03-17,2011-10-05,7,2010-09-25 00:00:00,"1JEbnwER","yelp_id_0"
"45oR5eEdU2FXVsbbJMwfdw",2007-02-06,2015-01-30,5,2008-09-10 00:00:00,"eVOBAJoj","yelp_id_0"
"47mBGtdAS8y9msy2BzUEjw",2010-04-18,2015-04-27,220,2012-08-23 12:00:00,"wmo77Roq","yelp_id_0"
"48kZEMfCfmqyYIgrYzAy2A",2006-03-22,2015-05-02,256,2012-10-31 12:00:00,"eVOBQMoj","yelp_id_0"
"493_BYr02YN2v97vX6As6A",2008-11-24,2015-02-19,17,2011-04-08 00:00:00,"dj3dX539","yelp_id_0"
"4Bg0ctpZNHS3UkdJo3pVEw",2008-03-11,2015-03-04,83,2011-10-25 00:00:00,"8x3zWRok","yelp_id_0"
"4CXhyAienxkRZpJR8EzOeA",2008-03-22,2014-09-20,28,2010-07-05 00:00:00,"xWoYdG3K","yelp_id_0"
"4FfbH_ZY7b3GvqtnlTSfNQ",2005-08-12,2012-02-14,14,2009-07-18 00:00:00,"WeEe2m3a","yelp_id_0"
"4J6ilT7y7vpwin9V_DJB3A",2006-08-18,2013-04-01,130,2011-07-25 00:00:00,"Pk3w11Od","yelp_id_0"
"4J99txTo6hwWJjx9ZqfzQw",2010-11-17,2015-05-01,379,2012-08-31 00:00:00,"lnORxV3N","yelp_id_0"
"4JkEPSmUD_UAFLMAmUZM0A",2005-08-26,2007-04-03,4,2006-09-15 12:00:00,"8xExQV30","yelp_id_0"
"4LHTHWNvZsSjD9dTReMrGQ",2007-10-22,2015-03-15,33,2012-11-06 00:00:00,"njoZ5X3r","yelp_id_0"
"4MoH6kS6Pn0frnvfIGiStQ",2011-04-04,2015-05-02,89,2013-11-01 00:00:00,"qN3g1QOA","yelp_id_0"
"4NOhHvSVPAj7_hsTZ-vcRw",2010-06-27,2015-03-15,85,2012-08-16 00:00:00,"p0382zOm","yelp_id_0"
"4SAq2GHShUAXL1ZGAdlJPg",2005-08-11,2015-05-01,227,2012-06-06 00:00:00,"6K3lB8Oz","yelp_id_0"
"4TncyL8ipl3Xha2Tc2c6hQ",2008-02-16,2015-04-22,180,2011-05-16 12:00:00,"7RO5xXoq","yelp_id_0"
"4TsWnE-sG_tsKjS43m-I9A",2005-04-27,2013-01-07,42,2008-07-28 00:00:00,"wmo7nd3q","yelp_id_0"
"4Us3W-d7ivdW4JKitjsuAQ",2005-10-14,2015-04-25,227,2011-06-30 00:00:00,"6K3lkeEz","yelp_id_0"
"4WUP-VcOvfOon7CSyCyBrQ",2007-09-04,2015-03-08,169,2010-12-15 00:00:00,"wmo7Z73q","yelp_id_0"
"4XPc0gSukb12vxJTciEckg",2007-01-15,2015-04-21,795,2011-05-12 00:00:00,"dj3d6LO9","yelp_id_0"
"4XfqrOQ2UCOTeTxNtqUpXA",2009-04-12,2015-03-08,98,2011-12-20 00:00:00,"B1oXvlEV","yelp_id_0"
"4_m8EGJ5QgqTcnusZ21h5w",2008-05-20,2014-08-04,13,2011-12-16 00:00:00,"8x3zYLEk","yelp_id_0"
"4dnWjKCoJO8i7fLo5SHx2w",2006-05-12,2015-04-05,113,2012-04-05 00:00:00,"geEVxVoz","yelp_id_0"
"4dzJvVWr-lvXPbtG_9Eqmw",2009-06-30,2013-02-27,45,2010-04-22 00:00:00,"0ZED4ED9","yelp_id_0"
"4f40KBebUwWDvQzDkFXStA",2005-07-15,2015-04-26,285,2010-11-21 00:00:00,"wmo74GOq","yelp_id_0"
"4g8XeSIRVx5r3lFg6ZSxMA",2008-03-07,2015-02-13,117,2013-02-19 00:00:00,"ekE4qL32","yelp_id_0"
"4i7H2tz_6-oitoT_rKOhMQ",2005-08-31,2015-04-17,165,2012-02-05 00:00:00,"0j3LLx3r","yelp_id_0"
"4oeoDUPJP1J_1Ldtq-WSDw",2005-02-25,2014-04-22,132,2008-05-03 12:00:00,"geEV1YOz","yelp_id_0"
"4qyEKOiGwdL0KLtruwxZgw",2007-09-22,2015-02-27,9,2011-08-17 00:00:00,"geEVK53z","yelp_id_0"
"4szp0oAXNzQcUSzoUYPbag",2007-06-30,2011-05-26,187,2009-07-18 00:00:00,"8x3z8bOk","yelp_id_0"
"4uU2nnMmjl2qCpbikN2Elg",2009-10-21,2012-06-16,16,2010-11-03 00:00:00,"1m3MAy3B","yelp_id_0"
"51Zwf_CEh5jyYGIz_Rngrg",2008-03-13,2015-01-15,21,2013-05-17 00:00:00,"wmo7DbOq","yelp_id_0"
"52kGqiCBaRaJQpsjqn1vTw",2009-03-18,2015-05-02,29,2012-07-24 00:00:00,"njoZKbOr","yelp_id_0"
"54peQzYl3d1s2OE7seLchA",2007-05-06,2015-01-04,10,2010-06-24 00:00:00,"ekE4DKE2","yelp_id_0"
